"","X","SurveyID","SiteID","SurveyDate","SurveyStartTime","WindScale","SkyCode","Rain","Temp","RH","LightConditions","RANOKA","RANOKA_Index","RANOKA_Count","RANCLA_Index","RANCLA","Year","time","date","Species","survdate"
"40",621,2880,226,"5/4/2008","1:00",0,0,0,17,68,0,0,0,0,0,1,2008,0.6,-0.28,"BronzeFrog","5/4/2021"
"41",622,2881,12,"5/4/2008","1:09",0,0,0,16,78,0,0,0,0,0,0,2008,0.69,-0.28,"Neither","5/4/2021"
"42",623,2882,400,"5/4/2008","1:21",0,0,0,16,72,0,0,0,0,0,0,2008,0.81,-0.28,"Neither","5/4/2021"
"43",624,2883,26,"5/4/2008","1:37",0,0,0,15,70,0,0,0,0,0,1,2008,0.97,-0.28,"BronzeFrog","5/4/2021"
"44",625,2886,488,"5/4/2008","20:13",0,0,0,20,71,0,0,0,0,0,1,2008,-2.27,-0.28,"BronzeFrog","5/4/2021"
"45",626,2888,86,"5/4/2008","21:19",0,0,0,22,72,0,1,0,10,0,1,2008,-1.61,-0.28,"Both","5/4/2021"
"46",627,2889,482,"5/4/2008","21:50",0,0,0,22,72,0,0,0,0,0,1,2008,-1.3,-0.28,"BronzeFrog","5/4/2021"
"47",628,2890,20,"5/4/2008","22:18",0,0,0,20,72,0,1,0,8,0,1,2008,-1.02,-0.28,"Both","5/4/2021"
"48",629,2891,212,"5/4/2008","22:39",0,0,0,18,68,0,1,0,5,0,0,2008,-0.81,-0.28,"BogFrog","5/4/2021"
"49",630,2892,211,"5/4/2008","22:50",0,0,0,18,68,0,1,0,6,0,0,2008,-0.7,-0.28,"BogFrog","5/4/2021"
"50",631,2895,170,"5/4/2008","23:32",0,0,0,19,72,0,0,0,0,0,1,2008,-0.28,-0.28,"BronzeFrog","5/4/2021"
"51",632,2896,150,"5/4/2008","23:52",0,0,0,17,71,0,0,0,0,0,1,2008,-0.08,-0.28,"BronzeFrog","5/4/2021"
"52",633,2960,169,"5/4/2008","23:18",0,0,0,18,72,0,0,0,0,0,1,2008,-0.42,-0.28,"BronzeFrog","5/4/2021"
"53",827,3920,169,"5/4/2008","23:18",0,0,0,18,72,0,0,0,0,0,1,2008,-0.42,-0.28,"BronzeFrog","5/4/2021"
"54",19,1367,482,"5/5/2006","0:20",1,1,0,20,90,2,0,0,0,1,1,2006,0.2,-0.27,"BronzeFrog","5/5/2021"
"55",20,1368,170,"5/5/2006","20:40",1,1,0,24,90,2,0,0,0,2,1,2006,-2,-0.27,"BronzeFrog","5/5/2021"
"56",21,1369,169,"5/5/2006","21:31",1,1,0,24,90,2,0,0,0,1,1,2006,-1.49,-0.27,"BronzeFrog","5/5/2021"
"57",22,1370,168,"5/5/2006","22:07",1,2,0,24,90,2,0,0,0,0,0,2006,-1.13,-0.27,"Neither","5/5/2021"
"58",23,1371,14,"5/5/2006","22:45",1,2,0,22,90,2,0,0,0,1,1,2006,-0.75,-0.27,"BronzeFrog","5/5/2021"
"59",24,1372,12,"5/5/2006","23:32",1,2,0,22,90,2,0,0,0,0,0,2006,-0.28,-0.27,"Neither","5/5/2021"
"60",25,1373,26,"5/5/2006","23:46",1,2,0,22,90,1,1,1,2,1,1,2006,-0.14,-0.27,"Both","5/5/2021"
"61",402,2168,168,"5/5/2007","19:56",0,1,1,25,69,3,0,0,0,0,0,2007,-2.44,-0.27,"Neither","5/5/2021"
"62",403,2169,170,"5/5/2007","20:19",0,1,0,25,69,3,0,0,0,0,1,2007,-2.21,-0.27,"BronzeFrog","5/5/2021"
"63",404,2170,169,"5/5/2007","20:36",0,1,0,24,72,3,0,0,0,0,1,2007,-2.04,-0.27,"BronzeFrog","5/5/2021"
"64",405,2171,27,"5/5/2007","21:11",0,1,0,24,72,3,0,0,0,0,1,2007,-1.69,-0.27,"BronzeFrog","5/5/2021"
"65",406,2173,488,"5/5/2007","21:47",0,1,0,24,72,3,0,0,0,0,0,2007,-1.33,-0.27,"Neither","5/5/2021"
"66",407,2176,26,"5/5/2007","22:18",0,1,0,23,74,3,0,0,0,0,1,2007,-1.02,-0.27,"BronzeFrog","5/5/2021"
"67",408,2177,12,"5/5/2007","22:28",0,1,0,23,74,3,0,0,0,0,1,2007,-0.92,-0.27,"BronzeFrog","5/5/2021"
"68",409,2178,400,"5/5/2007","22:38",0,1,0,23,74,3,0,0,0,0,1,2007,-0.82,-0.27,"BronzeFrog","5/5/2021"
"69",410,2179,226,"5/5/2007","22:50",0,1,0,23,74,3,0,0,0,0,1,2007,-0.7,-0.27,"BronzeFrog","5/5/2021"
"70",411,2180,125,"5/5/2007","22:59",0,1,0,23,73,3,0,0,0,0,1,2007,-0.61,-0.27,"BronzeFrog","5/5/2021"
"71",412,2181,14,"5/5/2007","23:09",0,1,0,23,73,3,0,0,0,0,1,2007,-0.51,-0.27,"BronzeFrog","5/5/2021"
"72",413,2182,3,"5/6/2007","19:55",0,2,0,26,75,3,0,0,0,0,1,2007,-2.45,-0.26,"BronzeFrog","5/6/2021"
"73",414,2183,163,"5/6/2007","20:14",0,2,0,26,75,3,0,0,0,0,1,2007,-2.26,-0.26,"BronzeFrog","5/6/2021"
"74",415,2184,150,"5/6/2007","20:24",0,2,0,26,75,3,0,0,0,0,1,2007,-2.16,-0.26,"BronzeFrog","5/6/2021"
"75",416,2185,92,"5/6/2007","20:31",0,2,0,26,75,3,0,0,0,0,0,2007,-2.09,-0.26,"Neither","5/6/2021"
"76",417,2186,89,"5/6/2007","20:39",0,2,0,26,75,3,0,0,0,0,0,2007,-2.01,-0.26,"Neither","5/6/2021"
"77",418,2187,214,"5/6/2007","20:48",0,2,0,26,75,3,0,0,0,0,1,2007,-1.92,-0.26,"BronzeFrog","5/6/2021"
"78",419,2189,90,"5/6/2007","21:06",0,1,0,26,75,2,0,0,0,0,0,2007,-1.74,-0.26,"Neither","5/6/2021"
"79",420,2190,15,"5/6/2007","21:37",0,1,0,26,75,2,0,0,0,0,0,2007,-1.43,-0.26,"Neither","5/6/2021"
"80",421,2191,169,"5/6/2007","21:45",0,1,0,26,75,2,0,0,0,0,0,2007,-1.35,-0.26,"Neither","5/6/2021"
"81",422,2193,165,"5/6/2007","22:02",0,1,0,26,75,2,0,0,0,0,1,2007,-1.18,-0.26,"BronzeFrog","5/6/2021"
"82",423,2195,167,"5/6/2007","22:17",1,1,0,26,75,0,0,0,0,0,1,2007,-1.03,-0.26,"BronzeFrog","5/6/2021"
"83",424,2196,187,"5/6/2007","22:25",1,2,0,26,75,0,0,0,0,0,0,2007,-0.95,-0.26,"Neither","5/6/2021"
"84",425,2198,19,"5/6/2007","22:51",1,1,0,27,65,2,0,0,0,0,0,2007,-0.69,-0.26,"Neither","5/6/2021"
"85",26,1381,56,"5/7/2006","21:48",1,2,0,25,85,2,0,0,0,0,0,2006,-1.32,-0.25,"Neither","5/7/2021"
"86",27,1382,21,"5/7/2006","22:02",1,2,0,25,85,1,1,2,5,0,0,2006,-1.18,-0.25,"BogFrog","5/7/2021"
"87",28,1383,182,"5/7/2006","22:28",1,2,0,25,85,2,0,0,0,0,0,2006,-0.92,-0.25,"Neither","5/7/2021"
"88",29,1384,183,"5/7/2006","22:48",1,2,0,25,90,2,0,0,0,0,0,2006,-0.72,-0.25,"Neither","5/7/2021"
"89",30,1385,184,"5/7/2006","23:02",1,2,0,25,90,2,0,0,0,1,1,2006,-0.58,-0.25,"BronzeFrog","5/7/2021"
"90",31,1386,22,"5/7/2006","23:32",1,2,0,25,90,2,0,0,0,0,0,2006,-0.28,-0.25,"Neither","5/7/2021"
"91",426,2203,186,"5/7/2007","0:13",3,1,0,25,65,2,0,0,0,0,0,2007,0.13,-0.25,"Neither","5/7/2021"
"92",427,2205,22,"5/7/2007","0:32",3,1,0,25,65,2,0,0,0,0,1,2007,0.32,-0.25,"BronzeFrog","5/7/2021"
"93",428,2206,183,"5/7/2007","0:44",3,0,0,27,56,2,0,0,0,0,0,2007,0.44,-0.25,"Neither","5/7/2021"
"94",429,2207,182,"5/7/2007","0:53",3,0,0,27,56,2,0,0,0,0,0,2007,0.53,-0.25,"Neither","5/7/2021"
"95",430,2208,21,"5/7/2007","1:02",3,0,0,27,56,2,0,0,0,0,0,2007,0.62,-0.25,"Neither","5/7/2021"
"96",431,2209,56,"5/7/2007","1:19",3,0,0,27,56,2,1,0,1,0,0,2007,0.79,-0.25,"BogFrog","5/7/2021"
"97",580,2809,125,"5/7/2007","22:33",1,0,0,15,70,1,1,0,4,0,1,2007,-0.87,-0.25,"Both","5/7/2021"
"98",581,2810,14,"5/7/2007","22:23",1,0,0,15,70,1,0,0,0,0,1,2007,-0.97,-0.25,"BronzeFrog","5/7/2021"
"99",32,1387,15,"5/8/2006","0:28",1,2,0,24,90,2,1,1,3,1,1,2006,0.28,-0.24,"Both","5/8/2021"
"100",33,1388,164,"5/8/2006","0:49",1,2,0,24,90,2,0,0,0,0,0,2006,0.49,-0.24,"Neither","5/8/2021"
"101",34,1389,49,"5/8/2006","1:00",1,2,0,24,90,2,0,0,0,2,1,2006,0.6,-0.24,"BronzeFrog","5/8/2021"
"102",35,1390,165,"5/8/2006","1:14",1,2,0,24,90,2,0,0,0,0,0,2006,0.74,-0.24,"Neither","5/8/2021"
"103",36,1392,167,"5/8/2006","1:40",1,2,0,24,90,2,0,0,0,0,0,2006,1,-0.24,"Neither","5/8/2021"
"104",37,1393,187,"5/8/2006","1:52",1,2,0,24,90,2,1,1,1,0,0,2006,1.12,-0.24,"BogFrog","5/8/2021"
"105",38,1394,17,"5/8/2006","20:50",1,2,0,25,90,2,1,1,3,1,1,2006,-1.9,-0.24,"Both","5/8/2021"
"106",39,1395,51,"5/8/2006","21:11",1,2,0,25,90,2,0,0,0,0,0,2006,-1.69,-0.24,"Neither","5/8/2021"
"107",40,1396,18,"5/8/2006","21:34",1,2,0,25,90,2,0,0,0,2,1,2006,-1.46,-0.24,"BronzeFrog","5/8/2021"
"108",41,1398,489,"5/8/2006","22:06",1,2,0,25,90,2,1,1,3,0,0,2006,-1.14,-0.24,"BogFrog","5/8/2021"
"109",585,2814,177,"5/8/2007","20:24",1,0,0,18,60,1,0,0,0,0,1,2007,-2.16,-0.24,"BronzeFrog","5/8/2021"
"110",596,2840,3,"5/9/2007","20:12",0,0,0,20,50,1,0,0,0,0,0,2007,-2.28,-0.23,"Neither","5/9/2021"
"111",42,1400,244,"5/10/2006","20:09",1,2,0,27,80,1,0,0,0,1,1,2006,-2.31,-0.22,"BronzeFrog","5/10/2021"
"112",43,1401,29,"5/10/2006","20:44",1,2,0,27,80,1,1,1,1,1,1,2006,-1.96,-0.22,"Both","5/10/2021"
"113",44,1402,28,"5/10/2006","20:58",1,2,0,27,80,2,1,1,3,0,0,2006,-1.82,-0.22,"BogFrog","5/10/2021"
"114",45,1403,246,"5/10/2006","21:40",1,2,0,26,90,1,0,0,0,1,1,2006,-1.4,-0.22,"BronzeFrog","5/10/2021"
"115",432,2268,5,"5/10/2007","21:15",0,0,0,23,72,0,0,0,0,0,1,2007,-1.65,-0.22,"BronzeFrog","5/10/2021"
"116",433,2269,4,"5/10/2007","21:26",0,0,0,22,79,0,1,0,2,0,1,2007,-1.54,-0.22,"Both","5/10/2021"
"117",434,2270,3,"5/10/2007","21:42",0,0,0,22,79,0,1,0,5,0,1,2007,-1.38,-0.22,"Both","5/10/2021"
"118",435,2272,2,"5/10/2007","22:15",0,0,0,22,79,0,0,0,0,0,0,2007,-1.05,-0.22,"Neither","5/10/2021"
"119",436,2273,16,"5/10/2007","22:29",0,0,0,21,79,0,0,0,0,0,1,2007,-0.91,-0.22,"BronzeFrog","5/10/2021"
"120",437,2278,34,"5/10/2007","23:40",0,0,0,20,80,0,0,0,0,0,0,2007,-0.2,-0.22,"Neither","5/10/2021"
"121",46,1406,247,"5/11/2006","21:29",1,0,0,16,90,4,0,0,0,2,1,2006,-1.51,-0.21,"BronzeFrog","5/11/2021"
"122",47,1408,245,"5/11/2006","22:43",1,0,0,14,90,4,0,0,0,1,1,2006,-0.77,-0.21,"BronzeFrog","5/11/2021"
"123",48,1409,162,"5/11/2006","23:11",1,0,0,14,90,4,0,0,0,2,1,2006,-0.49,-0.21,"BronzeFrog","5/11/2021"
"124",386,2096,177,"5/11/2006","20:05",1,0,0,20,80,4,0,0,0,0,1,2006,-2.35,-0.21,"BronzeFrog","5/11/2021"
"125",438,2282,32,"5/11/2007","0:17",0,0,0,20,80,0,1,0,1,0,1,2007,0.17,-0.21,"Both","5/11/2021"
"126",439,2283,298,"5/11/2007","0:20",0,0,0,20,80,0,1,0,1,0,1,2007,0.2,-0.21,"Both","5/11/2021"
"127",440,2284,177,"5/11/2007","0:28",0,0,0,18,86,0,0,0,0,0,1,2007,0.28,-0.21,"BronzeFrog","5/11/2021"
"128",441,2285,176,"5/11/2007","0:47",0,0,0,18,86,0,0,0,0,0,1,2007,0.47,-0.21,"BronzeFrog","5/11/2021"
"129",634,2962,247,"5/11/2008","20:21",0,0,0,23,42,2,0,0,0,0,0,2008,-2.19,-0.21,"Neither","5/11/2021"
"130",635,2963,246,"5/11/2008","20:34",0,0,0,21,50,2,0,0,0,0,0,2008,-2.06,-0.21,"Neither","5/11/2021"
"131",636,2964,7,"5/11/2008","20:53",1,0,0,22,37,2,0,0,0,0,1,2008,-1.87,-0.21,"BronzeFrog","5/11/2021"
"132",637,2965,245,"5/11/2008","21:28",2,0,0,23,31,2,0,0,0,0,0,2008,-1.52,-0.21,"Neither","5/11/2021"
"133",638,2966,29,"5/11/2008","21:49",0,0,0,21,41,2,1,0,2,0,1,2008,-1.31,-0.21,"Both","5/11/2021"
"134",639,2967,28,"5/11/2008","22:00",0,0,0,19,43,2,1,0,2,0,1,2008,-1.2,-0.21,"Both","5/11/2021"
"135",640,2968,162,"5/11/2008","22:09",1,0,0,20,38,2,1,0,2,0,1,2008,-1.11,-0.21,"Both","5/11/2021"
"136",641,2969,244,"5/11/2008","22:38",0,0,0,20,34,2,0,0,0,0,0,2008,-0.82,-0.21,"Neither","5/11/2021"
"137",642,2970,160,"5/11/2008","22:48",0,0,0,20,37,2,0,0,0,0,0,2008,-0.72,-0.21,"Neither","5/11/2021"
"138",643,2971,161,"5/11/2008","23:05",0,0,0,19,43,2,1,0,1,0,1,2008,-0.55,-0.21,"Both","5/11/2021"
"139",442,2288,266,"5/12/2007","20:21",0,1,0,22,86,0,0,0,0,0,0,2007,-2.19,-0.2,"Neither","5/12/2021"
"140",443,2291,17,"5/12/2007","22:17",0,2,0,22,85,0,1,0,3,0,1,2007,-1.03,-0.2,"Both","5/12/2021"
"141",444,2293,192,"5/12/2007","21:36",0,2,0,23,87,0,0,0,0,0,0,2007,-1.44,-0.2,"Neither","5/12/2021"
"142",445,2294,51,"5/12/2007","22:23",0,2,0,22,85,0,1,0,2,0,1,2007,-0.97,-0.2,"Both","5/12/2021"
"143",446,2295,18,"5/12/2007","22:33",0,2,0,22,85,0,0,0,0,0,0,2007,-0.87,-0.2,"Neither","5/12/2021"
"144",447,2297,489,"5/12/2007","22:49",0,2,0,22,85,0,0,0,0,0,0,2007,-0.71,-0.2,"Neither","5/12/2021"
"145",644,2973,31,"5/12/2008","0:04",0,0,0,20,52,2,0,0,0,0,1,2008,0.04,-0.2,"BronzeFrog","5/12/2021"
"146",645,2975,250,"5/12/2008","0:27",1,0,0,17,50,2,0,0,0,0,1,2008,0.27,-0.2,"BronzeFrog","5/12/2021"
"147",448,2304,185,"5/13/2007","20:00",0,0,1,27,82,0,1,0,2,0,1,2007,-2.4,-0.19,"Both","5/13/2021"
"148",449,2305,24,"5/13/2007","20:10",0,0,0,27,82,0,1,0,1,0,1,2007,-2.3,-0.19,"Both","5/13/2021"
"149",450,2306,246,"5/13/2007","0:10",0,0,0,20,84,0,0,0,0,0,0,2007,0.1,-0.19,"Neither","5/13/2021"
"150",451,2307,247,"5/13/2007","0:20",0,0,1,20,84,0,0,0,0,0,1,2007,0.2,-0.19,"BronzeFrog","5/13/2021"
"151",452,2309,244,"5/13/2007","22:29",0,1,0,22,82,0,0,0,0,0,1,2007,-0.91,-0.19,"BronzeFrog","5/13/2021"
"152",453,2310,160,"5/13/2007","22:48",0,1,0,22,82,0,0,0,0,0,1,2007,-0.72,-0.19,"BronzeFrog","5/13/2021"
"153",454,2311,29,"5/13/2007","23:08",0,0,1,22,82,0,1,0,2,0,1,2007,-0.52,-0.19,"Both","5/13/2021"
"154",455,2312,28,"5/13/2007","23:15",0,0,0,21,82,0,0,0,0,0,1,2007,-0.45,-0.19,"BronzeFrog","5/13/2021"
"155",456,2313,162,"5/13/2007","23:22",0,0,0,22,82,0,0,0,0,0,0,2007,-0.38,-0.19,"Neither","5/13/2021"
"156",457,2314,245,"5/13/2007","23:30",0,0,0,22,82,0,0,0,0,0,1,2007,-0.3,-0.19,"BronzeFrog","5/13/2021"
"157",458,2315,7,"5/13/2007","23:42",0,0,0,22,82,0,1,0,3,0,1,2007,-0.18,-0.19,"Both","5/13/2021"
"158",49,1434,483,"5/14/2006","20:37",1,1,0,22,85,3,1,1,1,1,1,2006,-2.03,-0.18,"Both","5/14/2021"
"159",50,1437,266,"5/14/2006","21:57",2,1,0,23,90,3,1,1,2,1,1,2006,-1.23,-0.18,"Both","5/14/2021"
"160",51,1440,192,"5/14/2006","23:53",2,2,0,24,90,3,1,1,1,1,1,2006,-0.07,-0.18,"Both","5/14/2021"
"161",52,1462,27,"5/16/2006","20:12",1,1,0,18,75,2,1,1,1,2,1,2006,-2.28,-0.16,"Both","5/16/2021"
"162",53,1463,400,"5/16/2006","20:42",1,1,0,18,75,2,1,1,2,1,1,2006,-1.98,-0.16,"Both","5/16/2021"
"163",54,1464,488,"5/16/2006","21:07",1,1,0,18,75,2,0,0,0,0,0,2006,-1.73,-0.16,"Neither","5/16/2021"
"164",55,1465,125,"5/16/2006","21:34",1,1,0,14,95,2,1,1,3,1,1,2006,-1.46,-0.16,"Both","5/16/2021"
"165",56,1466,226,"5/16/2006","21:44",1,1,0,14,95,2,1,1,1,1,1,2006,-1.36,-0.16,"Both","5/16/2021"
"166",57,1467,150,"5/16/2006","22:03",1,1,0,14,95,2,0,0,0,2,1,2006,-1.17,-0.16,"BronzeFrog","5/16/2021"
"167",58,1468,86,"5/16/2006","22:31",1,1,0,14,95,2,1,1,2,2,1,2006,-0.89,-0.16,"Both","5/16/2021"
"168",646,3029,176,"5/17/2008","20:34",0,1,0,22,65,4,0,0,0,0,1,2008,-2.06,-0.15,"BronzeFrog","5/17/2021"
"169",647,3030,177,"5/17/2008","20:47",0,1,0,22,64,4,0,0,0,0,0,2008,-1.93,-0.15,"Neither","5/17/2021"
"170",648,3031,177,"5/17/2008","20:47",0,1,0,22,64,4,0,0,0,0,0,2008,-1.93,-0.15,"Neither","5/17/2021"
"171",649,3032,298,"5/17/2008","21:01",0,1,0,21,68,4,0,0,0,0,1,2008,-1.79,-0.15,"BronzeFrog","5/17/2021"
"172",650,3035,34,"5/17/2008","21:49",0,1,0,20,72,4,0,0,0,0,1,2008,-1.31,-0.15,"BronzeFrog","5/17/2021"
"173",651,3039,32,"5/17/2008","22:41",1,1,0,20,73,4,0,0,0,0,0,2008,-0.79,-0.15,"Neither","5/17/2021"
"174",652,3042,16,"5/17/2008","23:20",0,1,0,19,79,4,0,0,0,0,1,2008,-0.4,-0.15,"BronzeFrog","5/17/2021"
"175",653,3043,2,"5/17/2008","23:39",0,1,0,19,75,4,0,0,0,0,1,2008,-0.21,-0.15,"BronzeFrog","5/17/2021"
"176",654,3044,3,"5/18/2008","1:01",0,1,0,19,74,4,0,0,0,0,1,2008,0.61,-0.14,"BronzeFrog","5/18/2021"
"177",655,3045,4,"5/18/2008","1:13",0,1,0,19,74,4,0,0,0,0,1,2008,0.73,-0.14,"BronzeFrog","5/18/2021"
"178",656,3048,5,"5/18/2008","1:22",0,1,0,18,80,4,0,0,0,0,1,2008,0.82,-0.14,"BronzeFrog","5/18/2021"
"179",459,2348,32,"5/20/2007","20:17",1,0,0,21,45,1,0,0,0,0,0,2007,-2.23,-0.12,"Neither","5/20/2021"
"180",460,2349,298,"5/20/2007","20:27",1,0,0,21,44,1,0,0,0,0,1,2007,-2.13,-0.12,"BronzeFrog","5/20/2021"
"181",461,2350,3,"5/20/2007","20:50",1,0,0,21,45,1,0,0,0,0,0,2007,-1.9,-0.12,"Neither","5/20/2021"
"182",462,2351,2,"5/20/2007","21:07",1,0,0,21,44,1,0,0,0,0,1,2007,-1.73,-0.12,"BronzeFrog","5/20/2021"
"183",463,2352,16,"5/20/2007","21:19",1,0,0,21,44,1,1,0,1,0,1,2007,-1.61,-0.12,"Both","5/20/2021"
"184",583,2812,160,"5/21/2007","20:43",2,0,0,23,60,2,0,0,0,0,1,2007,-1.97,-0.11,"BronzeFrog","5/21/2021"
"185",594,2838,29,"5/21/2007","22:19",2,0,0,20,60,2,0,0,0,0,1,2007,-1.01,-0.11,"BronzeFrog","5/21/2021"
"186",65,1491,14,"5/22/2006","23:19",1,1,0,22,90,1,1,1,1,2,1,2006,-0.41,-0.1,"Both","5/22/2021"
"187",76,1503,32,"5/22/2006","22:05",1,0,0,24,80,1,0,0,0,2,1,2006,-1.15,-0.1,"BronzeFrog","5/22/2021"
"188",59,1482,5,"5/23/2006","20:25",1,1,0,24,80,1,0,0,0,1,1,2006,-2.15,-0.09,"BronzeFrog","5/23/2021"
"189",60,1483,4,"5/23/2006","20:37",1,1,0,24,80,1,0,0,0,2,1,2006,-2.03,-0.09,"BronzeFrog","5/23/2021"
"190",61,1484,3,"5/23/2006","20:59",1,1,0,24,80,1,1,1,2,2,1,2006,-1.81,-0.09,"Both","5/23/2021"
"191",62,1485,2,"5/23/2006","21:17",1,1,0,24,80,1,0,0,0,1,1,2006,-1.63,-0.09,"BronzeFrog","5/23/2021"
"192",63,1486,16,"5/23/2006","21:33",1,1,0,24,85,1,0,0,0,1,1,2006,-1.47,-0.09,"BronzeFrog","5/23/2021"
